No,Penggunaan Lahan,Kerapatan Sungai,Jenis Tanah,Jarak dari Sungai,Curah Hujan,Kemiringan Lereng,Kelas Banjir,Kapanewon/Kemantren
17,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,0 - 50 m (Sangat Dekat),1000 - 2000 mm/th (Sedang),25-40% (Curam),Sedang,Girimulyo
18,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,0 - 50 m (Sangat Dekat),1000 - 2000 mm/th (Sedang),>40% (Sangat Curam),Sedang,Girimulyo
19,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,50 - 100 m (Dekat),1000 - 2000 mm/th (Sedang),0-8% (Datar),Sedang,Girimulyo
20,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,50 - 100 m (Dekat),1000 - 2000 mm/th (Sedang),8-15% (Landai),Sedang,Girimulyo
21,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,50 - 100 m (Dekat),1000 - 2000 mm/th (Sedang),15-25% (Agak Curam),Sedang,Girimulyo
22,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,50 - 100 m (Dekat),1000 - 2000 mm/th (Sedang),25-40% (Curam),Sedang,Girimulyo
23,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,50 - 100 m (Dekat),1000 - 2000 mm/th (Sedang),>40% (Sangat Curam),Sedang,Girimulyo
24,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,100 - 250 m (Sedang),1000 - 2000 mm/th (Sedang),0-8% (Datar),Sedang,Girimulyo
25,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,100 - 250 m (Sedang),1000 - 2000 mm/th (Sedang),8-15% (Landai),Sedang,Girimulyo
26,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,100 - 250 m (Sedang),1000 - 2000 mm/th (Sedang),15-25% (Agak Curam),Sedang,Girimulyo
27,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,100 - 250 m (Sedang),1000 - 2000 mm/th (Sedang),25-40% (Curam),Sedang,Girimulyo
28,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,100 - 250 m (Sedang),1000 - 2000 mm/th (Sedang),>40% (Sangat Curam),Sedang,Girimulyo
29,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,250 - 500 m (Jauh),1000 - 2000 mm/th (Sedang),0-8% (Datar),Sedang,Girimulyo
30,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,250 - 500 m (Jauh),1000 - 2000 mm/th (Sedang),8-15% (Landai),Sedang,Girimulyo
31,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,250 - 500 m (Jauh),1000 - 2000 mm/th (Sedang),15-25% (Agak Curam),Sedang,Girimulyo
32,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,250 - 500 m (Jauh),1000 - 2000 mm/th (Sedang),25-40% (Curam),Sedang,Girimulyo
33,Hutan Lahan Kering,"0,62 - 1.44 km/km2",Nitosol,250 - 500 m (Jauh),1000 - 2000 mm/th (Sedang),>40% (Sangat Curam),Sedang,Girimulyo
34,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,>500 m (Sangat Jauh),1000 - 2000 mm/th (Sedang),0-8% (Datar),Rendah,Girimulyo
35,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,>500 m (Sangat Jauh),1000 - 2000 mm/th (Sedang),8-15% (Landai),Rendah,Girimulyo
36,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,>500 m (Sangat Jauh),1000 - 2000 mm/th (Sedang),15-25% (Agak Curam),Rendah,Girimulyo
37,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,>500 m (Sangat Jauh),1000 - 2000 mm/th (Sedang),25-40% (Curam),Rendah,Girimulyo
38,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,>500 m (Sangat Jauh),1000 - 2000 mm/th (Sedang),>40% (Sangat Curam),Rendah,Girimulyo
39,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,50 - 100 m (Dekat),1000 - 2000 mm/th (Sedang),0-8% (Datar),Sedang,Girimulyo
40,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Nitosol,>500 m (Sangat Jauh),1000 - 2000 mm/th (Sedang),0-8% (Datar),Rendah,Girimulyo
41,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Nitosol,>500 m (Sangat Jauh),1000 - 2000 mm/th (Sedang),8-15% (Landai),Rendah,Girimulyo
42,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Nitosol,>500 m (Sangat Jauh),1000 - 2000 mm/th (Sedang),15-25% (Agak Curam),Rendah,Girimulyo
43,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Nitosol,>500 m (Sangat Jauh),1000 - 2000 mm/th (Sedang),25-40% (Curam),Rendah,Girimulyo
44,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Nitosol,>500 m (Sangat Jauh),1000 - 2000 mm/th (Sedang),>40% (Sangat Curam),Rendah,Girimulyo
45,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Nitosol,0 - 50 m (Sangat Dekat),1000 - 2000 mm/th (Sedang),0-8% (Datar),Tinggi,Girimulyo
46,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Nitosol,0 - 50 m (Sangat Dekat),1000 - 2000 mm/th (Sedang),8-15% (Landai),Sedang,Girimulyo
47,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Nitosol,0 - 50 m (Sangat Dekat),1000 - 2000 mm/th (Sedang),15-25% (Agak Curam),Sedang,Girimulyo
48,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Nitosol,0 - 50 m (Sangat Dekat),1000 - 2000 mm/th (Sedang),25-40% (Curam),Sedang,Girimulyo
49,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Nitosol,0 - 50 m (Sangat Dekat),1000 - 2000 mm/th (Sedang),>40% (Sangat Curam),Sedang,Girimulyo
50,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Nitosol,50 - 100 m (Dekat),1000 - 2000 mm/th (Sedang),0-8% (Datar),Sedang,Girimulyo
51,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Nitosol,50 - 100 m (Dekat),1000 - 2000 mm/th (Sedang),8-15% (Landai),Sedang,Girimulyo
